Name,01B,02B,03B,04B,05B,06B,07B,08B,10B,11B,12B,13B,14B,15B,16B,17B,18B,19B,20B,21B,22B,23B
OTU001,17174,15829,15850,11796,10232,11117,21314,23746,26949,26824,9877,8000,16173,15148,593,6877,7804,505,21822,20522,17603,945
OTU002,5144,5421,3058,2217,22621,21182,8942,1725,1274,1441,2208,2514,578,1114,22748,1352,1180,1459,2473,2450,2172,61
OTU003,4815,4558,4314,3400,2878,3148,5948,6890,7755,8121,2872,2254,4808,4369,149,1881,2212,94,6203,5794,5013,272
OTU004,2848,2779,1246,3098,521,6387,394,211,144,1017,241,521,219,121,291,7310,7077,3908,163,172,51,42
OTU005,385,666,2350,244,346,222,515,822,1710,924,163,3981,102,151,380,1401,187,4065,384,358,192,13121
OTU006,1042,1050,987,880,667,726,1326,1545,1759,1923,571,510,1116,931,43,466,502,34,1383,1282,1043,68
OTU007,178,405,866,157,142,131,253,363,732,402,42,1828,71,63,81,647,128,989,272,159,123,4299
OTU008,126,184,653,58,79,72,148,249,509,238,55,2282,35,41,63,377,53,691,123,93,59,3014
OTU009,133,185,671,103,89,74,179,252,587,250,28,752,27,56,82,392,48,970,128,95,57,3937
OTU010,65,163,870,62,73,52,151,171,618,176,66,1207,12,42,70,353,41,1548,93,77,75,2391
OTU011,43,64,688,35,40,44,65,207,303,120,41,1200,12,38,178,331,24,1199,60,103,62,3285
OTU012,5,44,17,3115,10,70,12,20,246,146,7,12,8,1,5,11,0,3515,7,3,3,596
OTU013,3,34,127,55,12,28,126,0,42,47,17,0,3,4,2,4525,1203,1266,44,9,2,0
OTU014,40,54,654,45,49,33,37,112,295,73,30,1004,15,26,138,259,32,1377,55,113,51,2796
OTU015,4,21,117,47,12,50,92,0,27,45,18,2,12,2,0,4226,953,1225,42,17,0,0
OTU016,361,298,367,215,248,193,433,488,484,545,178,112,360,358,14,138,190,8,465,466,362,24
OTU017,29,63,512,29,42,32,32,95,243,96,31,858,7,11,137,312,15,1305,54,66,55,2493
OTU018,33,104,503,41,41,52,88,144,350,121,32,824,15,20,50,241,22,767,61,45,33,2267
OTU019,0,0,1,42,1,3,2,0,1,0,0,0,1,1,1,0,0,5911,0,0,0,0
OTU020,52,115,408,54,59,39,94,132,223,129,56,1303,14,31,57,250,16,465,61,55,52,2061
OTU021,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5860,2
OTU022,71,184,340,41,51,24,83,152,261,94,4,288,14,33,30,228,27,743,51,86,24,2756
OTU023,55,151,251,62,64,44,85,137,247,207,36,355,20,26,109,358,22,716,57,47,34,1754
OTU024,0,0,479,1,0,0,1,0,2,0,0,4,0,0,3690,3,0,11,1,1,0,6
OTU025,50,116,203,34,85,16,84,140,236,162,6,301,17,31,15,173,27,347,37,30,35,1646
OTU026,0,10,2,147,1,7,2,6,31,16,2,0,0,0,3,0,0,3583,0,0,0,0
OTU027,33,75,223,40,30,23,92,76,166,110,2,465,8,14,11,123,29,295,30,25,15,1707
OTU028,36,64,118,36,34,19,64,84,102,99,17,1550,12,7,31,150,12,132,19,8,8,1023
OTU029,188,175,168,149,108,105,257,279,306,316,94,100,168,178,8,93,92,6,243,251,185,14
OTU030,37,79,276,25,27,19,65,121,213,90,22,547,15,20,26,125,32,244,47,34,27,1473
OTU031,37,83,371,26,39,24,43,92,180,90,20,344,6,11,45,123,7,375,43,37,18,1480
OTU032,30,82,238,28,28,32,65,60,219,116,16,286,15,8,42,183,20,463,59,43,39,1355
OTU033,199,174,204,105,121,94,246,271,225,275,124,72,183,215,10,43,84,7,219,236,175,8
OTU034,24,52,227,22,19,12,39,46,137,55,12,494,5,9,60,141,7,512,28,32,18,1313
OTU035,141,160,154,126,120,129,202,262,284,286,131,83,140,133,6,85,75,7,225,216,174,8
OTU036,0,0,1,2421,7,0,2,0,31,14,0,0,0,0,1,1,0,787,0,0,0,0
OTU037,140,165,153,101,91,118,198,254,246,288,117,78,178,145,5,63,67,3,177,184,159,10
OTU038,3,14,172,5,10,10,31,45,96,32,12,337,9,5,63,129,7,651,31,28,15,1081
OTU039,0,8,47,24,7,16,33,0,24,10,10,0,8,1,0,1736,297,446,8,3,1,0
OTU040,46,63,172,32,32,15,54,52,119,72,9,234,5,8,38,112,16,212,44,28,24,961
OTU041,268,102,69,82,284,757,59,21,19,24,22,17,16,20,146,122,154,83,17,22,11,0
OTU042,171,201,48,135,281,791,100,15,14,35,23,40,3,14,269,11,14,21,38,17,15,0
OTU043,0,0,0,1663,1,2,0,3,29,1,0,0,0,0,0,0,0,557,0,0,0,0
OTU044,106,116,122,119,69,79,147,134,173,178,48,60,86,97,2,41,58,4,172,145,98,3
OTU045,92,78,105,78,48,73,152,144,173,155,57,66,109,92,1,48,46,3,117,139,94,3
OTU046,1,0,0,25,0,0,0,0,2,0,0,3,0,1,1882,7,0,5,1,0,0,12
OTU047,0,0,0,1472,2,0,0,5,27,8,0,0,0,0,0,0,0,414,0,0,1,0
OTU048,94,94,95,77,56,65,96,131,173,164,46,62,88,82,4,39,46,2,128,122,99,7
OTU049,0,0,0,44,0,6,0,0,2,27,3,0,0,0,1,0,0,1806,0,0,0,0
OTU050,19,46,109,12,29,10,42,58,79,69,12,129,7,22,23,44,10,153,21,22,12,760
OTU051,10,20,87,10,8,7,12,50,65,26,6,218,1,7,21,56,6,333,11,13,6,729
OTU052,86,85,39,29,414,298,127,37,17,19,34,44,10,14,316,24,18,15,30,32,27,2
OTU053,78,69,81,74,47,65,91,118,156,155,37,46,88,74,1,36,43,2,133,121,89,2
OTU054,12,30,118,16,9,9,10,21,96,46,10,291,7,7,15,74,8,182,11,15,11,670
OTU055,15,47,150,14,18,13,32,46,103,34,4,102,10,5,9,88,8,176,21,19,9,668
OTU056,72,96,92,65,35,60,96,126,117,168,55,36,109,80,1,26,41,4,90,94,75,9
OTU057,60,86,59,63,53,63,116,107,142,107,46,46,71,76,5,36,44,1,105,112,79,5
OTU058,6,27,129,12,10,10,18,32,74,29,20,464,2,14,16,62,4,140,21,24,14,411
OTU059,6,23,85,9,7,7,26,42,79,32,6,258,1,6,19,55,6,161,9,16,6,650
OTU060,25,34,19,13,4,15,2,10,9,38,6,13,8,2,1,1226,51,4,7,7,1,6
OTU061,81,69,77,47,42,50,107,92,131,130,54,25,79,59,2,40,40,0,109,94,70,6
OTU062,75,64,66,47,44,37,92,107,109,122,39,35,80,86,3,32,26,3,79,71,75,5
OTU063,3,18,116,5,9,7,7,17,37,23,15,225,1,3,35,77,4,237,10,23,9,476
OTU064,4,23,104,8,21,12,18,40,48,44,9,174,5,11,18,35,5,97,8,9,2,628
OTU065,10,17,114,9,14,9,24,44,61,34,3,131,0,4,11,48,6,192,18,12,10,531
OTU066,51,71,48,61,33,39,95,90,130,113,53,44,75,56,0,29,30,1,98,82,64,1
OTU067,7,21,53,10,7,1,14,13,53,24,10,633,1,5,1,20,4,59,4,4,6,330
OTU068,58,44,39,39,26,56,93,108,105,124,27,38,68,67,8,24,27,0,68,92,76,2
OTU069,0,11,0,34,2,4,2,0,2,0,2,0,0,0,0,0,0,1191,0,0,0,0
OTU070,61,54,69,34,32,38,89,77,106,102,52,30,47,52,4,34,23,2,79,96,71,11
OTU071,0,0,0,8,0,1,0,0,4,11,0,0,0,0,0,0,1,1197,0,0,0,0
OTU072,81,43,66,39,48,46,61,84,95,105,39,30,38,52,0,22,34,4,66,77,80,2
OTU073,61,65,55,37,27,42,81,86,114,86,19,47,68,47,1,20,21,1,93,72,60,5
OTU074,8,18,85,8,15,6,14,27,55,29,12,234,8,11,18,58,1,92,12,14,8,373
OTU075,52,70,57,31,32,44,66,88,83,112,39,21,43,54,3,31,26,0,96,81,60,3
OTU076,100,88,56,108,17,280,11,2,4,14,4,8,7,1,10,163,181,75,2,1,0,1
OTU077,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,345,33,37,11,651
OTU078,68,31,43,33,35,30,52,61,97,66,63,38,51,55,1,19,37,0,67,62,73,2
OTU079,0,0,0,286,1,3,0,3,3,0,0,0,0,0,0,0,0,686,0,0,0,41
OTU080,4,8,85,5,11,8,8,31,30,20,2,131,3,1,7,33,1,148,10,8,6,358
OTU081,37,50,39,31,31,36,64,59,90,72,36,30,43,42,2,15,22,2,60,49,57,3
OTU082,4,23,82,6,10,16,12,27,44,23,3,96,3,0,12,29,2,100,6,7,6,370
OTU083,7,17,68,4,12,10,10,19,38,16,0,115,6,2,10,52,5,121,9,4,3,330
OTU084,4,17,73,5,8,9,4,12,33,24,5,124,1,2,14,33,2,118,8,13,3,326
OTU085,9,24,53,6,7,6,19,22,34,22,8,216,5,6,1,45,3,49,9,5,6,263
