Name	Oxygen	Treatment	Group	Lyz1_PCR	Defa2_PCR	DMBT1	Pnliprp2
01B	HO	VEH	HO_VEH	0.44947	0.61486	1.484615954	0.503698063
02B	HO	VEH	HO_VEH	0.76934	0.70633	2.436945044	0.536547388
03B	HO	VEH	HO_VEH	0.52662	0.4977	1.127777817	0.444433222
04B	HO	VEH	HO_VEH	0.68416	0.52063	1.946832879	0.587106729
05B	HO	VEH	HO_VEH	0.38446	0.32612	1.071613275	0.295404783
06B	HO	VEH	HO_VEH	0.53028	0.60605	1.34229328	0.65858514
07B	NO	VEH	RA_VEH	0.61868	0.58463	0.654347193	0.528087933
08B	NO	VEH	RA_VEH	0.74601	0.73389	0.768485411	0.748281796
10B	NO	VEH	RA_VEH	0.68148	0.68119	0.680760726	0.724008305
11B	NO	VEH	RA_VEH	1.53215	0.95456	1.860725497	0.830564143
12B	NO	VEH	RA_VEH	0.55958	0.57006	0.648830063	0.735383386
13B	NO	VEH	RA_VEH	1.09797	1.14384	0.69289728	1.258394499
14B	NO	VEH	RA_VEH	1.31448	1.07054	1.647601065	1.103910903
15B	NO	VEH	RA_VEH	0.82715	0.85819	1.85765536	0.977192184
16B	HO	VEH	HO_VEH	0.84335	0.6064	0.197522619	0.167432742
17B	HO	VEH	HO_VEH	0.56712	1.08948	2.249716552	1.015056843
18B	HO	VEH	HO_VEH	0.89804	0.80858	1.547289598	0.66047885
19B	HO	VEH	HO_VEH	0.77202	0.77438	1.396841002	0.679145315
20B	NO	VEH	RA_VEH	0.90627	0.97605	0.552949531	1.008788501
21B	NO	VEH	RA_VEH	1.6758	1.82608	0.898269163	1.637837474
22B	NO	VEH	RA_VEH	0.88374	1.35511	0.729358452	1.246448185
23B	NO	VEH	RA_VEH	1.1567	1.24586	1.00812026	1.20110269
