Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU001,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter sp. E2
OTU002,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Aeromonadaceae, Aeromonas, Aeromonas salmonicida
OTU003,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Kluyvera, Unidentified
OTU004,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus, Enterococcus ratti
OTU005,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Paucibacter, Paucibacter toxinivorans
OTU006,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas, Brevundimonas intermedia
OTU007,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Bradyrhizobium, Bradyrhizobium sp. ORS 3669
OTU008,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Unidentified
OTU009,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia, Ralstonia pickettii
OTU010,Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, Micrococcus, Micrococcus sp
OTU011,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Alteromonadaceae, Rheinheimera, Gamma proteobacterium MF23
OTU012,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia, Massilia sp
OTU013,Bacteria, Firmicutes, Bacilli, Staphylococcales, Staphylococcaceae, Staphylococcus, Staphylococcus saprophyticus
OTU014,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Phyllobacterium, Rhizobium sp. LB5
OTU015,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Enhydrobacter, Moraxella osloensis
OTU016,Bacteria, Firmicutes, Bacilli, Staphylococcales, Staphylococcaceae, Staphylococcus, Staphylococcus sp. ZQ3
OTU017,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Paracoccus, Paracoccus carotinifaciens
OTU018,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Chromobacteriaceae, Vogesella, Vogesella fluminis
OTU019,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, Streptococcus cuniculi
OTU020,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus gasseri
OTU021,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas alcaliphila
OTU022,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Ottowia, Comamonas serinivorans
OTU023,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas, Brevundimonas bacteroides
OTU024,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Methylobacterium-Methylorubrum, Methylobacterium radiotolerans
OTU025,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, Sphingomonas leidyi
OTU026,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas sp. R4D2
OTU027,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia, Massilia sp
OTU028,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Herbaspirillum, Herbaspirillum frisingense
OTU029,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Planococcus, Planococcus sp. RNP07
