Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU001,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Tepidimonas,
OTU002,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU003,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae,,
OTU004,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus,
OTU005,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae,,
OTU006,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae,,
OTU007,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Lysinibacillus, Boronitolerans
OTU008,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae,,
OTU009,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU010,Bacteria, Cyanobacteria, Synechococcophycideae, Synechococcales, Synechococcaceae, Synechococcus,
OTU011,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Agrobacterium,
OTU012,Bacteria, Firmicutes, Clostridia, Clostridiales,,,
OTU013,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae,,
OTU014,Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Azospira,
OTU015,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium,
OTU016,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Oscillospira,
OTU017,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Oscillospira,
OTU018,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae,,
OTU019,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae,,
OTU020,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae,,
OTU021,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Ramlibacter,
OTU022,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Comamonas,
OTU023,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae,,
OTU024,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Oscillospira,
OTU025,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU026,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Oscillospira,
OTU027,Bacteria, Cyanobacteria, ML635J-21,,,,
OTU028,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae,,
OTU029,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae,,
OTU030,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus,
OTU031,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU032,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Phenylobacterium,
OTU033,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces,
OTU034,Bacteria, Proteobacteria, Alphaproteobacteria,,,,
OTU035,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus,
OTU036,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Microbacteriaceae, Microbacterium,
OTU037,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae,,
OTU038,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Dorea,
OTU039,Bacteria, Firmicutes, Clostridia, Clostridiales,,,
OTU040,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Citrobacter,
OTU041,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae,,
OTU042,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,
OTU043,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU044,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae,,
OTU045,Bacteria, Firmicutes, Clostridia, Clostridiales,,,
OTU046,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU047,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae,,
OTU048,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micrococcaceae,,
OTU049,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Intrasporangiaceae,,
OTU050,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Dermabacteraceae, Brachybacterium,
OTU051,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU052,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus,
OTU053,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae,,
OTU054,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae,,
OTU055,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Flammeovirgaceae,,
OTU056,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU057,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus,
